matrícula,nome,idade,renda,cor,sexo,ano_curso,escola,curso,logradouro,numero,bairro,cidade,uf,cep,motivação,porcentagem_concluida_curso,coordenadas_long_lat,distrito,distancia_ate_puc
RA55000029,Jaclecia Lucena Barcelos,19,611.99,branca,feminino,3,pública,administração,Rua Duque de Palmela,626,Vila Praia,São Paulo,SP,05750-200,9,0.75,"-46.6913427, -23.5372255",PERDIZES,2060.536629756004
RA55000030,Emerson Pádua Baía Nobre,19,1033.99,branca,masculino,3,pública,administração,Rua Pedro Cubas,738,Piqueri,São Paulo,SP,02913-000,9,0.75,"-46.7142979, -23.5042735",PIRITUBA,5796.1360112030625
RA55000031,Elvia Braga Franqueira Rocha,19,931.99,branca,feminino,3,pública,história,Rua Rui Barbosa Lima,441,Vila Curuçá,São Paulo,SP,08030-730,9,0.75,"-46.4195526, -23.5049471",VILA CURUCA,25961.63379838801
RA55000032,Carmos Inês Maior Souto,19,1198.99,branca,masculino,3,pública,direito,Rua Primeiro de Maio,149,Jardim São Francisco,São Paulo,SP,08390-263,9,0.6,"-46.4498428, -23.626695",SAO RAFAEL,24662.874502099457
RA55000033,Franciso Paiva Cardim Delgado,19,878.99,branca,masculino,3,pública,design,Rua Pedro Meira,678,Vila Curuçá,São Paulo,SP,08030-500,9,1.0,"-46.4227213, -23.5076955",VILA CURUCA,25598.76377172533
RA55000034,Gesileide Espírito Santo Barros,19,790.99,branca,feminino,3,pública,medicina,Rua Dom Pedro,498,Jardim Apurá,São Paulo,SP,04470-037,9,0.5,"-46.6613435, -23.7409979",GRAJAU,22652.301068322693
RA55000035,Jordelma Xisto,19,1204.99,preta,feminino,3,pública,administração,Rua Dois de Julho,506,Ipiranga,São Paulo,SP,04215-000,10,0.75,"-46.6012332, -23.5960735",IPIRANGA,9635.918152259384
RA55000036,Rogue Eanes Madruga Filipe,19,644.99,branca,masculino,3,pública,medicina,Praça Sete de Fevereiro,594,Vila Formosa,São Paulo,SP,03358-020,9,0.5,"-46.5514324, -23.5637006",VILA FORMOSA,12556.91232143497
RA55000037,Darcileia Rosado,19,912.99,branca,feminino,3,pública,ciência da computação,Rua C,501,Jardim Santa Cruz (Sacomã),São Paulo,SP,04182-135,9,0.75,"-46.6008082, -23.6427605",SACOMA,13708.886021852193
RA55000038,Odaise Bettencourt Galvão,19,1031.99,branca,feminino,3,pública,história,Rua Silva Pinto,123,Bom Retiro,São Paulo,SP,01126-010,9,0.75,"-46.6409844, -23.5293328",BOM RETIRO,3234.172915858049
RA55000039,Otoniel Paula Cabral Teves,19,1185.99,branca,masculino,3,pública,medicina,Avenida Valle,752,Parque Paulistano,São Paulo,SP,08081-070,10,0.5,"-46.4220155, -23.491066",JD HELENA,25981.540567125587
RA55000040,Jocassio Azenha Varejão,19,764.99,branca,masculino,3,pública,história,Rua Marconi,820,Centro,São Paulo,SP,01047-905,10,0.75,"-46.6404438, -23.5456485",REPUBLICA,3250.733925917892
RA55000041,Miquelle Paião,19,884.99,branca,feminino,3,pública,direito,Praça Aramã,946,Jardim Nordeste,São Paulo,SP,03691-160,10,0.6,"-46.486362, -23.5320195",ARTUR ALVIM,18884.990961833042
RA55000042,Verlandio Vilaverde,19,1133.99,branca,masculino,3,pública,design,Praça Sete de Fevereiro,594,Vila Formosa,São Paulo,SP,03358-020,10,1.0,"-46.5514324, -23.5637006",VILA FORMOSA,12556.91232143497
RA55000043,Thiers Quirino Lins,19,1138.99,branca,masculino,3,pública,ciência da computação,Rua Marino Pinto,894,Jardim Palmares (Zona Sul),São Paulo,SP,04457-090,10,0.75,"-46.6782738, -23.6893317",CAMPO GRANDE,16883.32093087177
RA55000044,Irven Custódio Alencar,19,701.99,branca,masculino,3,pública,design,Rua H,161,Jardim Mar Lune,São Paulo,SP,04874-120,10,1.0,"-46.59432590000001, -23.6324654",SACOMA,13129.785018170978
RA55000045,Abraham Faria Guterres Silveira,19,818.99,branca,masculino,3,pública,design,Rua Marechal Deodoro,565,Santo Amaro,São Paulo,SP,04738-900,10,1.0,"-46.6961782, -23.6408194",SANTO AMARO,11738.05059892166
RA55000046,Vardinho Figueiredo Azenha Paz,19,1176.99,branca,masculino,3,pública,engenharia biomédica,Rua São Marcos,547,Chácara Gaivotas,São Paulo,SP,04849-314,9,0.6,"-46.6653668, -23.7370211",GRAJAU,22194.35487866624
RA55000047,Ereneide Reino Negreiros Reino,19,839.99,branca,feminino,3,pública,administração,Rua H,539,Conjunto Residencial Alpes do Jaraguá,São Paulo,SP,05183-380,9,0.75,"-46.75329, -23.4466802",JARAGUA,13199.07288410508
RA55000048,Elimar Caniça Borja,19,664.99,branca,feminino,3,pública,engenharia biomédica,Rua Dom João VI,942,Jardim Luzitânia,São Paulo,SP,04032-100,10,0.6,"-46.6599009, -23.5968186",MOEMA,6651.888069115393
RA55000049,Dijalmir Freire Prada Santarém,19,1042.99,branca,masculino,3,pública,administração,Rua Marechal Marques Porto,22,Jardim Caguassu,São Paulo,SP,03906-020,10,0.75,"-46.5105097, -23.5800618",ARICANDUVA,17060.153473071245
RA55000050,Nalison Fragoso,19,853.99,branca,masculino,3,pública,medicina,Rua Soldado Aristides Gouveia,76,Parque Novo Mundo,São Paulo,SP,02188-090,10,0.5,"-46.5686261, -23.5106898",VILA MARIA,10909.349328353812
RA55000051,Eli Resende,19,908.99,branca,masculino,3,pública,engenharia biomédica,Rua Nossa Senhora da Piedade,327,Jardim Francisco Mendes,São Paulo,SP,02366-010,9,0.6,"-46.6925688, -23.6329488",SANTO AMARO,10802.67958687513
RA55000052,Geisamara Machado Rego Varanda,19,629.99,branca,feminino,3,pública,direito,Rua Aracy de Almeida,997,Jardim Indaiá,São Paulo,SP,08143-010,10,0.6,"-46.3941612, -23.5157961",ITAIM PAULISTA,28398.341028169827
RA55000053,Misleia Leiria Valim Pinheiro,19,925.99,branca,feminino,3,pública,design,Rua Pedro Doll,912,Santana,São Paulo,SP,02404-001,9,1.0,"-46.6314, -23.4902621",SANTANA,6703.2872424627785
RA55000054,Rariel Neves Tinoco,19,1110.99,branca,masculino,3,pública,filosofia,Avenida Sargento Geraldo Sant'Ana,512,Jardim Taquaral,São Paulo,SP,04674-903,9,1.0,"-46.68583839999999, -23.6636472",CAMPO GRANDE,14083.008510966865
RA55000055,Erlane Borja,19,956.99,branca,feminino,3,pública,engenharia biomédica,Rua H,539,Conjunto Residencial Alpes do Jaraguá,São Paulo,SP,05183-380,10,0.6,"-46.75329, -23.4466802",JARAGUA,13199.07288410508
RA55000056,Arquimino Bulhões Castilhos,19,623.99,branca,masculino,3,pública,design,Rua Marechal Silva Fonseca,104,Jardim Três Marias,São Paulo,SP,03676-030,9,1.0,"-46.4927623, -23.5171327",PONTE RASA,18369.266017103844
RA55000057,Ronigleison Melgaço,19,978.99,branca,masculino,3,pública,design,Rua Marcos Liberi,843,Conjunto Residencial José Bonifácio,São Paulo,SP,08253-270,10,1.0,"-46.4419108, -23.5474235",JOSE BONIFACIO,23434.07512556952
RA55000058,Adson Berenguer Fernandes,19,1004.99,preta,masculino,3,pública,design,Rua Major Baracca,906,Parque Edu Chaves,São Paulo,SP,02232-000,9,1.0,"-46.5621975, -23.4755526",JACANA,13134.37310389258
RA55000059,Werton Milheiriço,19,914.99,branca,masculino,3,pública,engenharia biomédica,Rua Dom João VI,942,Jardim Luzitânia,São Paulo,SP,04032-100,9,0.6,"-46.6599009, -23.5968186",MOEMA,6651.888069115393
RA55000060,Markson Madureira Cantanhede Vilar,19,1159.99,branca,masculino,3,pública,medicina,Rua Vinte e Quatro de Dezembro,633,Vila Dom Pedro II,São Paulo,SP,02241-050,10,0.5,"-46.609144, -23.4900396",TUCURUVI,8296.728171218892
RA55000061,Gerson Covilhã,19,905.99,preta,masculino,3,pública,administração,Rua Marechal Malet,251,Parque da Vila Prudente,São Paulo,SP,03140-020,10,0.75,"-46.5794609, -23.5883275",VILA PRUDENTE,10914.026833796668
RA55000062,Francislei Penteado,19,1085.99,branca,feminino,3,pública,engenharia biomédica,Rua Caetano de Moura,216,Vila Nina,São Paulo,SP,02833-060,10,0.6,"-46.6922537, -23.4782964",FREGUESIA DO O,7004.921836183093
RA55000063,Jaina Pádua,19,1000.99,branca,feminino,3,pública,medicina,Rua João Pujol,954,Vila Dona Sara,São Paulo,SP,03471-020,9,0.5,"-46.5197302, -23.568542",ARICANDUVA,15832.917393855914
RA55000064,Urubata Toscano Carvalhoso Nolasco,19,629.99,branca,masculino,3,pública,história,Rua Vandoma,788,Parque Cocaia,São Paulo,SP,04850-170,9,0.75,"-46.6784405, -23.7543455",GRAJAU,24129.31153547043
RA55000065,Luceno Mansilha,19,703.99,branca,masculino,3,pública,história,Rua D,297,Jardim Mar Lune,São Paulo,SP,04874-190,10,0.75,"-46.6657058, -23.8211839",GRAJAU,31577.056002348127
RA55000066,Nadjara Lucena Alvim Abelho,19,696.99,preta,feminino,3,pública,administração,Vila Marcolina,134,Parque Vitória,São Paulo,SP,02268-040,10,0.75,"-46.5942946, -23.4683586",TUCURUVI,11050.39757980112
RA55000067,Mike Fidalgo Mexia,19,1169.99,branca,feminino,3,pública,medicina,Rua Rainha-do-Bosque,864,Vila Santa Inês,São Paulo,SP,03812-030,10,0.5,"-46.4662972, -23.4939114",VILA JACUI,21496.262476632328
RA55000068,Vilk Abasto Cardim,19,892.99,branca,masculino,3,pública,medicina,Rua Rio de Janeiro,805,Parque Recreio,São Paulo,SP,04891-230,10,0.5,"-46.7442007, -23.8480828",PARELHEIROS,35361.43494647678
RA55000069,Sofia Quintanilha,19,789.99,branca,feminino,3,pública,design,Rua Primeiro de Maio,294,Jardim Colibri,São Paulo,SP,04855-630,9,1.0,"-46.4577086, -23.4881746",VILA JACUI,22501.03647696697
RA55000070,Aieda Jesus Neves Pinho,19,1135.99,branca,feminino,3,pública,ciência de dados,Avenida Marechal Tito,891,Jardim Silva Teles,São Paulo,SP,08160-495,10,0.8571428571428571,"-46.4371255, -23.4950325",SAO MIGUEL,24380.81834773196
RA55000071,Ismario Liberato Marques Lagos,19,1008.99,preta,masculino,3,pública,história,Rua 23 de Novembro,929,Vila Progresso (Zona Leste),São Paulo,SP,08240-001,9,0.75,"-46.4446166, -23.5248726",SAO MIGUEL,23183.0360786632
RA55000072,Regenildo Leão Parente,19,1138.99,branca,masculino,3,pública,história,Rua Ruiva,987,Brasilândia,São Paulo,SP,02844-110,9,0.75,"-46.6878464, -23.4695049",BRASILANDIA,7833.658377568608
RA55000073,Franciele Úria Pessoa,19,650.99,preta,feminino,3,pública,filosofia,Rua Major João Nunes,800,Jardim São Paulo(Zona Norte),São Paulo,SP,02046-070,10,1.0,"-46.6109608, -23.4925579",VILA GUILHERME,7974.241260093359
RA55000074,Wandeley Moreno Palos,19,682.99,branca,masculino,3,pública,ciência de dados,Rua Monsenhor Anacleto,13,Brás,São Paulo,SP,03003-020,10,0.8571428571428571,"-46.623174, -23.5466213",BRAS,4994.2583955797
RA55000075,Ilzanete Coelho Olivares,19,935.99,branca,feminino,3,pública,história,Praça M'Boi,904,Butantã,São Paulo,SP,05511-030,10,0.75,"-46.751149, -23.5726334",RIO PEQUENO,9027.675237697018
RA55000076,Arzelinda Cerveira Mondragão,19,673.99,branca,feminino,3,pública,design,Rua N,349,Jardim Brasília (Zona Norte),São Paulo,SP,02857-065,9,1.0,"-46.7073647, -23.4428259",BRASILANDIA,11246.309114083713
RA55000077,Luziema Valente Quina Vasconcelos,19,984.99,branca,feminino,3,pública,design,Rua Pedro Barbosa,194,Jardim Marília,São Paulo,SP,03579-130,9,1.0,"-46.4977275, -23.5634666",CID LIDER,17935.70415310842
RA55000078,Nagir Camargo Doutel Pescada,19,1024.99,branca,masculino,3,pública,história,Praça da Sé,871,Sé,São Paulo,SP,01001-901,9,0.75,"-46.6334257, -23.5492926",SE,4053.582224717661
RA55000079,Shigeki Basílio,19,1072.99,branca,masculino,3,pública,direito,Rua Major Marcelino,634,Brás,São Paulo,SP,03025-020,9,0.6,"-46.6071823, -23.5326216",BELEM,6563.684618934228
RA55000080,Gilcinei Coimbra,19,1114.99,branca,masculino,3,pública,história,Rua do Buruí,876,Parque Casa de Pedra,São Paulo,SP,02320-170,9,0.75,"-46.5953586, -23.4483439",TREMEMBE,12653.572321365267
RA55000081,Gislaine Caldeira Lucas,19,1134.99,branca,feminino,3,pública,ciência da computação,Avenida Odila,792,Planalto Paulista,São Paulo,SP,04058-021,9,0.75,"-46.6456689, -23.6122115",SAUDE,8668.839316914347
RA55000082,Luzielen Conceição Atilano,19,883.99,branca,feminino,3,pública,administração,Rua Marcos Lopes,456,Vila Nova Conceição,São Paulo,SP,04513-080,10,0.75,"-46.67151459999999, -23.5985126",MOEMA,6740.164790647067
RA55000083,Gesilene Couceiro,19,878.99,branca,feminino,3,pública,história,Rua João Pires,702,Mooca,São Paulo,SP,03168-060,9,0.75,"-46.5909286, -23.5547767",MOOCA,8403.88317982572
RA55000084,Claudenisia Xisto Caeiro,19,832.99,branca,feminino,3,pública,direito,Rua Marechal Deodoro,565,Santo Amaro,São Paulo,SP,04738-900,10,0.6,"-46.6961782, -23.6408194",SANTO AMARO,11738.05059892166
RA55000085,Marilaine Ruas Sodré,19,1180.99,branca,feminino,3,pública,design,Rua Caetano Desco,948,Vila Baruel,São Paulo,SP,02523-080,9,1.0,"-46.6564448, -23.506089",CASA VERDE,3871.2695402213217
RA55000086,Orvina Moita Nóbrega,19,1194.99,branca,feminino,3,pública,história,Rua Barão de Suruí,910,Vila Congonhas,São Paulo,SP,04612-120,9,0.75,"-46.6630757, -23.6192325",CAMPO BELO,9088.65842514152
RA55000087,Gleisson Barreira Avelar Zagalo,19,1042.99,branca,masculino,3,pública,história,Rua Sargento-Mor Carvalho,794,Cidade Ademar,São Paulo,SP,04405-080,10,0.75,"-46.6570139, -23.6670186",CID ADEMAR,14452.616918018812
RA55000088,Nercila Botica Delgado,19,1183.99,branca,feminino,3,pública,engenharia biomédica,Rua Silva Pinto,123,Bom Retiro,São Paulo,SP,01126-010,9,0.6,"-46.6409844, -23.5293328",BOM RETIRO,3234.172915858049
RA55000089,Evonio Ponte Mendonça Balsemão,19,1101.99,branca,masculino,3,pública,ciência da computação,Rua São Borja,704,Vila Gustavo,São Paulo,SP,02256-210,10,0.75,"-46.6352957, -23.6482644",JABAQUARA,12823.474556255598
RA55000090,Janildo Mariz Belchiorinho Onofre,19,845.99,preta,masculino,3,pública,medicina,Praça da Sé,631,Sé,São Paulo,SP,01001-901,10,0.5,"-46.6345874, -23.5517285",SE,4035.404538194871
RA55000091,Jemuel Ventura,19,914.99,preta,masculino,3,pública,filosofia,Rua Pedro Cubas,738,Piqueri,São Paulo,SP,02913-000,10,1.0,"-46.7142979, -23.5042735",PIRITUBA,5796.1360112030625
RA55000092,Terciane Rebimbas,19,874.99,branca,feminino,3,pública,medicina,Rua Nossa Senhora da Luz,782,Vila Gustavo,São Paulo,SP,02250-210,9,0.5,"-46.5965836, -23.4861243",TUCURUVI,9571.119462076866
RA55000093,Jen Pimentel Bicalho,19,890.99,branca,masculino,3,pública,ciência da computação,Rua Vandoma,788,Parque Cocaia,São Paulo,SP,04850-170,9,0.75,"-46.6784405, -23.7543455",GRAJAU,24129.31153547043
RA55000094,Jobert Garcia Leite,19,933.99,branca,masculino,3,pública,história,Rua João Gomes,306,Jardim Herculano,São Paulo,SP,04920-040,10,0.75,"-46.7570712, -23.6914395",JD ANGELA,19216.0642659518
RA55000095,Tarita Tristão Amado Dorneles,19,1074.99,branca,feminino,3,pública,história,Rua 9 de Setembro,652,Chácara Gaivotas,São Paulo,SP,04849-333,9,0.75,"-46.661306, -23.7337253",GRAJAU,21842.274882264333
RA55000096,Jodna Estrada Feira,19,1206.99,branca,feminino,3,pública,ciência de dados,Rua Nossa Senhora da Penha,823,Penha de França,São Paulo,SP,03632-060,10,0.8571428571428571,"-46.549434, -23.5284826",PENHA,12478.42946767207
RA55000097,Sandeilson Paião Alcântara,19,987.99,branca,masculino,3,pública,ciência da computação,Rua Caetano Pinto,235,Brás,São Paulo,SP,03041-000,9,0.75,"-46.621499, -23.5481405",BRAS,5196.197088487396
RA55000098,Shirleni Palha Farinha,19,685.99,branca,feminino,3,pública,história,Rua Flor de Maio,247,Parque das Flores,São Paulo,SP,08391-435,10,0.75,"-46.4444851, -23.642356",SAO RAFAEL,25899.909707520554
RA55000099,Kaline Campos Barateiro,19,968.99,branca,feminino,3,pública,administração,Rua Rui Barbosa Lima,441,Vila Curuçá,São Paulo,SP,08030-730,10,0.75,"-46.4195526, -23.5049471",VILA CURUCA,25961.63379838801
RA55000100,Jurez Pedroso,19,810.99,branca,masculino,3,pública,história,Praça M'Boi,654,Butantã,São Paulo,SP,05511-030,9,0.75,"-46.751149, -23.5726334",RIO PEQUENO,9027.675237697018
RA55000101,Ketlin Ferrão,19,940.99,branca,feminino,3,pública,medicina,Rua Sargento-Mor Carvalho,794,Cidade Ademar,São Paulo,SP,04405-080,9,0.5,"-46.6570139, -23.6670186",CID ADEMAR,14452.616918018812
RA55000102,Nazarina Mantas Franca Soeiro,19,781.99,branca,feminino,3,pública,filosofia,Praça Elfos,452,Jardim Marajoara,São Paulo,SP,04664-090,10,1.0,"-46.6853616, -23.6561107",CAMPO GRANDE,13242.231419680447
RA55000103,Severio Rosmaninho Morão,19,815.99,preta,masculino,3,pública,ciência de dados,Rua Carapuruí,62,Alto da Lapa,São Paulo,SP,05059-050,9,0.8571428571428571,"-46.7111633, -23.532242",LAPA,4133.886749810862
RA55000104,Roberti Veríssimo Quina,19,778.99,branca,masculino,3,pública,design,Avenida Nove de Julho,947,Jardim Paulista,São Paulo,SP,01406-100,10,1.0,"-46.64694240000001, -23.5521074",BELA VISTA,2928.7712596311126
RA55000105,Geni Bivar,19,747.99,branca,feminino,3,pública,ciência de dados,Rua Treze de Maio,917,Cantinho do Céu,São Paulo,SP,04849-650,9,0.8571428571428571,"-46.6573675, -23.7404567",GRAJAU,22613.80158862518
RA55000106,Clercio Cerqueira Ouro,19,1162.99,branca,masculino,3,pública,história,Rua João Lima,912,Chácara Belenzinho,São Paulo,SP,03381-080,9,0.75,"-46.5280229, -23.5781294",VILA FORMOSA,15284.344253597304
RA55000107,Valencia Calçada,19,663.99,branca,feminino,3,pública,história,Rua Nossa Senhora da Paz,485,Jardim Almeida,São Paulo,SP,04866-245,9,0.75,"-46.7266499, -23.8023856",PARELHEIROS,30011.51551115775
RA55000108,Raineria Canhão Arantes,19,1121.99,preta,feminino,3,pública,ciência da computação,Viela Vinte e Sete de Setembro,710,Cidade Nova Heliópolis,São Paulo,SP,04235-090,10,0.75,"-46.5909673, -23.6114651",SACOMA,11578.859485013985
RA55000109,Doroti Franqueira Caminha,19,611.99,branca,feminino,3,pública,engenharia biomédica,Rua Soneto de Agosto,641,Jardim Santa Lucrécia,São Paulo,SP,05185-430,10,0.6,"-46.7490884, -23.4395076",JARAGUA,13570.080998504318
RA55000110,Henry Abranches Pereira,19,644.99,branca,masculino,3,pública,engenharia biomédica,Rua Pedro Voss,58,Vila Carrão,São Paulo,SP,03437-000,10,0.6,"-46.527327, -23.5550285",CARRAO,14810.085165081022
RA55000111,Andremar Prates,19,823.99,branca,masculino,3,pública,direito,Rua Sargento Advíncola,568,Parque Mandaqui,São Paulo,SP,02418-130,10,0.6,"-46.6295874, -23.4694138",TUCURUVI,8756.292921071075
RA55000112,Josoe Temes Caldas,19,1048.99,branca,masculino,3,pública,design,Rua Marcos Freire,579,Jardim Nova Conquista,São Paulo,SP,08346-580,9,1.0,"-46.4441347, -23.6189277",SAO RAFAEL,24871.22938104618
RA55000113,Florisio Canário Queiroga Berenguer,19,651.99,branca,masculino,3,pública,medicina,Rua Soldado Gentil Guimarães,750,Parque Novo Mundo,São Paulo,SP,02144-010,9,0.5,"-46.5692414, -23.5036781",VILA MARIA,11094.74615957559
RA55000114,Sedecias Negreiros Eanes Faro,19,985.99,branca,masculino,3,pública,história,Rua do Buruí,876,Parque Casa de Pedra,São Paulo,SP,02320-170,10,0.75,"-46.5953586, -23.4483439",TREMEMBE,12653.572321365267
RA55000115,Neurizan Pinho Ramalho,19,960.99,branca,feminino,3,pública,filosofia,Rua Armando Barbosa,42,Jardim Santa Adélia,São Paulo,SP,03974-010,9,1.0,"-46.48491120000001, -23.6137719",SAO MATEUS,20806.4335545065
RA55000116,Valdezita Covilhã,19,775.99,preta,feminino,3,pública,engenharia biomédica,Rua Rio de Janeiro,805,Parque Recreio,São Paulo,SP,04891-230,9,0.6,"-46.7442007, -23.8480828",PARELHEIROS,35361.43494647678
RA55000117,Orvino Ulhoa Álvares,19,761.99,branca,masculino,3,pública,medicina,Rua Três de Maio,864,Vila Clementino,São Paulo,SP,04044-020,10,0.5,"-46.6420636, -23.6039906",SAUDE,7929.879774069002
